"","id","date","tavg"
"367","RSM00029866",1997-01-02,-177
"368","RSM00029866",1997-01-03,-243
"369","RSM00029866",1997-01-04,-239
"370","RSM00029866",1997-01-05,-181
"371","RSM00029866",1997-01-06,-113
"372","RSM00029866",1997-01-07,-104
"373","RSM00029866",1997-01-08,-138
"374","RSM00029866",1997-01-09,-110
"375","RSM00029866",1997-01-10,-120
"376","RSM00029866",1997-01-11,-226
"377","RSM00029866",1997-01-12,-271
"378","RSM00029866",1997-01-13,-163
"379","RSM00029866",1997-01-14,-133
"380","RSM00029866",1997-01-15,-140
"381","RSM00029866",1997-01-16,-271
"382","RSM00029866",1997-01-17,-200
"383","RSM00029866",1997-01-18,-149
"384","RSM00029866",1997-01-19,-106
"385","RSM00029866",1997-01-20,-68
"386","RSM00029866",1997-01-21,-162
"387","RSM00029866",1997-01-22,-159
"388","RSM00029866",1997-01-23,-107
"389","RSM00029866",1997-01-24,-101
"390","RSM00029866",1997-01-25,-87
"391","RSM00029866",1997-01-26,-54
"392","RSM00029866",1997-01-27,-17
"393","RSM00029866",1997-01-28,-42
"394","RSM00029866",1997-01-29,-67
"395","RSM00029866",1997-01-30,-59
"396","RSM00029866",1997-01-31,-208
"397","RSM00029866",1997-02-01,-215
"398","RSM00029866",1997-02-02,-173
"399","RSM00029866",1997-02-03,-242
"400","RSM00029866",1997-02-04,-265
"401","RSM00029866",1997-02-05,-221
"402","RSM00029866",1997-02-06,-150
"403","RSM00029866",1997-02-07,-171
"404","RSM00029866",1997-02-08,-106
"405","RSM00029866",1997-02-09,-146
"406","RSM00029866",1997-02-10,-96
"407","RSM00029866",1997-02-11,-120
"408","RSM00029866",1997-02-12,-104
"409","RSM00029866",1997-02-13,-98
"410","RSM00029866",1997-02-14,-152
"411","RSM00029866",1997-02-15,-128
"412","RSM00029866",1997-02-16,-18
"413","RSM00029866",1997-02-17,-1
"414","RSM00029866",1997-02-18,12
"415","RSM00029866",1997-02-19,-1
"416","RSM00029866",1997-02-20,-69
"417","RSM00029866",1997-02-21,-82
"418","RSM00029866",1997-02-22,-68
"419","RSM00029866",1997-02-23,-129
"420","RSM00029866",1997-02-24,-106
"421","RSM00029866",1997-02-25,-170
"422","RSM00029866",1997-02-26,-121
"423","RSM00029866",1997-02-27,-105
"424","RSM00029866",1997-02-28,-181
"425","RSM00029866",1997-03-01,-54
"426","RSM00029866",1997-03-02,-63
"427","RSM00029866",1997-03-03,-52
"428","RSM00029866",1997-03-04,9
"429","RSM00029866",1997-03-05,-11
"430","RSM00029866",1997-03-06,-63
"431","RSM00029866",1997-03-07,-67
"432","RSM00029866",1997-03-08,-10
"433","RSM00029866",1997-03-09,-36
"434","RSM00029866",1997-03-10,-43
"435","RSM00029866",1997-03-11,-11
"436","RSM00029866",1997-03-12,-10
"437","RSM00029866",1997-03-13,-12
"438","RSM00029866",1997-03-14,-38
"439","RSM00029866",1997-03-15,-9
"440","RSM00029866",1997-03-16,-42
"441","RSM00029866",1997-03-17,-39
"442","RSM00029866",1997-03-18,-32
"443","RSM00029866",1997-03-19,-23
"444","RSM00029866",1997-03-20,-4
"445","RSM00029866",1997-03-21,-15
"446","RSM00029866",1997-03-22,-7
"447","RSM00029866",1997-03-23,11
"448","RSM00029866",1997-03-24,20
"449","RSM00029866",1997-03-25,19
"450","RSM00029866",1997-03-26,13
"451","RSM00029866",1997-03-27,40
"452","RSM00029866",1997-03-28,31
"453","RSM00029866",1997-03-29,43
"454","RSM00029866",1997-03-30,35
"455","RSM00029866",1997-03-31,5
"456","RSM00029866",1997-04-01,33
"457","RSM00029866",1997-04-02,52
"458","RSM00029866",1997-04-03,84
"459","RSM00029866",1997-04-04,43
"460","RSM00029866",1997-04-05,42
"461","RSM00029866",1997-04-06,18
"462","RSM00029866",1997-04-07,35
"463","RSM00029866",1997-04-08,78
"464","RSM00029866",1997-04-09,127
"465","RSM00029866",1997-04-10,89
"466","RSM00029866",1997-04-11,88
"467","RSM00029866",1997-04-12,87
"468","RSM00029866",1997-04-13,82
"469","RSM00029866",1997-04-14,98
"470","RSM00029866",1997-04-15,77
"471","RSM00029866",1997-04-16,75
"472","RSM00029866",1997-04-17,80
"473","RSM00029866",1997-04-18,56
"474","RSM00029866",1997-04-19,88
"475","RSM00029866",1997-04-20,104
"476","RSM00029866",1997-04-21,97
"477","RSM00029866",1997-04-22,107
"478","RSM00029866",1997-04-23,157
"479","RSM00029866",1997-04-24,130
"480","RSM00029866",1997-04-25,123
"481","RSM00029866",1997-04-26,108
"482","RSM00029866",1997-04-27,92
"483","RSM00029866",1997-04-28,114
"484","RSM00029866",1997-04-29,101
"485","RSM00029866",1997-04-30,59
"486","RSM00029866",1997-05-01,68
"487","RSM00029866",1997-05-02,111
"488","RSM00029866",1997-05-03,84
"489","RSM00029866",1997-05-04,93
"490","RSM00029866",1997-05-05,73
"491","RSM00029866",1997-05-06,120
"492","RSM00029866",1997-05-07,144
"493","RSM00029866",1997-05-08,133
"494","RSM00029866",1997-05-09,126
"495","RSM00029866",1997-05-10,128
"496","RSM00029866",1997-05-11,98
"497","RSM00029866",1997-05-12,60
"498","RSM00029866",1997-05-13,55
"499","RSM00029866",1997-05-14,54
"500","RSM00029866",1997-05-15,92
"501","RSM00029866",1997-05-16,118
"502","RSM00029866",1997-05-17,141
"503","RSM00029866",1997-05-18,145
"504","RSM00029866",1997-05-19,153
"505","RSM00029866",1997-05-20,173
"506","RSM00029866",1997-05-21,178
"507","RSM00029866",1997-05-22,173
"508","RSM00029866",1997-05-23,163
"509","RSM00029866",1997-05-24,129
"510","RSM00029866",1997-05-25,121
"511","RSM00029866",1997-05-26,158
"512","RSM00029866",1997-05-27,189
"513","RSM00029866",1997-05-28,196
"514","RSM00029866",1997-05-29,184
"515","RSM00029866",1997-05-30,178
"516","RSM00029866",1997-05-31,197
"517","RSM00029866",1997-06-01,189
"518","RSM00029866",1997-06-02,147
"519","RSM00029866",1997-06-03,95
"520","RSM00029866",1997-06-04,100
"521","RSM00029866",1997-06-05,90
